job desc ; F ; job val ; -148.375000 ; bearing target ; 90.000000 ; bearing now ; 90.000000
enc_dist ; 13.823016 ; enc_theta ; 1.783857 ; imu_theta ; 2.400002 ; output_theta ; 2.400002
enc_dist ; 10.367229 ; enc_theta ; 1.701161 ; imu_theta ; 1.799995 ; output_theta ; 1.799995
enc_dist ; 8.063430 ; enc_theta ; 1.627326 ; imu_theta ; 1.400002 ; output_theta ; 1.400002
enc_dist ; 10.367273 ; enc_theta ; 1.630280 ; imu_theta ; 1.800003 ; output_theta ; 1.800003
enc_dist ; 8.639380 ; enc_theta ; 1.591885 ; imu_theta ; 1.500000 ; output_theta ; 1.500000
enc_dist ; 9.791280 ; enc_theta ; 1.562351 ; imu_theta ; 1.699997 ; output_theta ; 1.699997
enc_dist ; 8.639380 ; enc_theta ; 0.357362 ; imu_theta ; 1.500000 ; output_theta ; 1.500000
degree to turn ; 93.303171 ; degree turned ; 91.599998 ; robot direction ; 181.399986

enc_dist ; 0.037666 ; enc_theta ; 0.005908 ; imu_theta ; 1.400002 ; output_theta ; 1.400002
job desc ; F ; job val ; 1367.741363 ; bearing target ; 183.103158 ; bearing now ; 182.799988
enc_dist ; 0.018833 ; enc_theta ; 0.002957 ; imu_theta ; 0.000000 ; output_theta ; 0.000000
job desc ; F ; job val ; 1367.741363 ; bearing target ; 183.103158 ; bearing now ; 182.799988
enc_dist ; 0.395492 ; enc_theta ; 0.062022 ; imu_theta ; 0.000000 ; output_theta ; 0.000000
job desc ; F ; job val ; 1367.741363 ; bearing target ; 183.103158 ; bearing now ; 182.799988
enc_dist ; 0.188329 ; enc_theta ; 0.029534 ; imu_theta ; 0.000000 ; output_theta ; 0.000000
enc_dist ; -0.131831 ; enc_theta ; 0.552287 ; imu_theta ; 0.000000 ; output_theta ; 0.000000
enc_dist ; -0.753317 ; enc_theta ; 2.191427 ; imu_theta ; 0.000000 ; output_theta ; 0.000000
enc_dist ; -0.960480 ; enc_theta ; 3.381649 ; imu_theta ; 0.000000 ; output_theta ; 0.000000
