enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 60.529053 ; enc_theta ; 0.088602 ; imu_theta ; 0.000000 ; output_theta ; 0.044301
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 75.068079 ; enc_theta ; -0.100416 ; imu_theta ; 0.000000 ; output_theta ; -0.050208
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 59.945232 ; enc_theta ; 0.038394 ; imu_theta ; 0.000000 ; output_theta ; 0.019197
enc_dist ; 44.521058 ; enc_theta ; -0.017720 ; imu_theta ; 0.000000 ; output_theta ; -0.008860
enc_dist ; 44.521058 ; enc_theta ; -0.017720 ; imu_theta ; 0.000000 ; output_theta ; -0.008860
enc_dist ; 44.521058 ; enc_theta ; -0.017720 ; imu_theta ; 0.000000 ; output_theta ; -0.008860
distance completed ; 2978.937159 ; robot direction ; 129.825955

job desc ; F ; job val ; -1334.610403 ; bearing target ; 129.825954 ; bearing now ; 129.825955
enc_dist ; -44.596390 ; enc_theta ; 0.082695 ; imu_theta ; 0.000000 ; output_theta ; 0.041348
job desc ; F ; job val ; -1334.610403 ; bearing target ; 129.825954 ; bearing now ; 129.867302
enc_dist ; -44.596390 ; enc_theta ; 0.082695 ; imu_theta ; 0.000000 ; output_theta ; 0.041348
enc_dist ; -44.596390 ; enc_theta ; 0.082695 ; imu_theta ; 0.000000 ; output_theta ; 0.041348
enc_dist ; -44.596390 ; enc_theta ; 0.082695 ; imu_theta ; 0.000000 ; output_theta ; 0.041348
enc_dist ; -44.596390 ; enc_theta ; 0.082695 ; imu_theta ; 0.000000 ; output_theta ; 0.041348
enc_dist ; -44.596390 ; enc_theta ; 0.082695 ; imu_theta ; 0.000000 ; output_theta ; 0.041348
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -60.397223 ; enc_theta ; 0.091556 ; imu_theta ; 0.000000 ; output_theta ; 0.045778
enc_dist ; -45.406206 ; enc_theta ; 0.050208 ; imu_theta ; 0.000000 ; output_theta ; 0.025104
enc_dist ; -45.406206 ; enc_theta ; 0.050208 ; imu_theta ; 0.000000 ; output_theta ; 0.025104
enc_dist ; -45.406206 ; enc_theta ; 0.050208 ; imu_theta ; 0.000000 ; output_theta ; 0.025104
distance completed ; 1325.556130 ; robot direction ; 101.087531

job desc ; F ; job val ; 52.463479 ; bearing target ; 101.087531 ; bearing now ; 101.087531
distance completed ; 0.000000 ; robot direction ; 101.087531

job desc ; T ; job val ; 149.264494 ; bearing target ; 149.264494 ; bearing now ; 101.087531
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
job desc ; T ; job val ; 149.264494 ; bearing target ; 149.264494 ; bearing now ; 102.865481
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 22.674852 ; enc_theta ; 3.555900 ; imu_theta ; 0.000000 ; output_theta ; 1.777950
enc_dist ; 30.264521 ; enc_theta ; 4.746122 ; imu_theta ; 0.000000 ; output_theta ; 2.373061
