job desc , T , job val ,0, bearing target ,0, bearing now ,0
enc_dist ,37.797701, enc_theta ,-0.12109, imu_theta ,0.100006, output_theta ,-0.010542
enc_dist ,37.458708, enc_theta ,-0.014766, imu_theta ,0, output_theta ,-0.007383
enc_dist ,37.910698, enc_theta ,0.020674, imu_theta ,-0.100006, output_theta ,-0.039666
enc_dist ,38.11786, enc_theta ,-0.023627, imu_theta ,0, output_theta ,-0.011814
enc_dist ,37.929531, enc_theta ,0.005908, imu_theta ,0, output_theta ,0.002954
enc_dist ,38.11786, enc_theta ,-0.01772, imu_theta ,0, output_theta ,-0.00886
enc_dist ,38.061362, enc_theta ,-0.020674, imu_theta ,0.100006, output_theta ,0.039666
enc_dist ,38.099028, enc_theta ,-0.032487, imu_theta ,-0.100006, output_theta ,-0.066247
enc_dist ,38.042529, enc_theta ,-0.029534, imu_theta ,0, output_theta ,-0.014767
enc_dist ,38.852345, enc_theta ,0.032488, imu_theta ,0.100006, output_theta ,0.066247
enc_dist ,55.368829, enc_theta ,0.041348, imu_theta ,0, output_theta ,0.020674
enc_dist ,54.728509, enc_theta ,-0.029534, imu_theta ,0.099976, output_theta ,0.035221
enc_dist ,55.745488, enc_theta ,0, imu_theta ,0, output_theta ,0
enc_dist ,56.178645, enc_theta ,0.032487, imu_theta ,0.100006, output_theta ,0.066247
enc_dist ,56.329309, enc_theta ,-0.020674, imu_theta ,0.100006, output_theta ,0.039666
enc_dist ,55.31233, enc_theta ,0.002957, imu_theta ,-0.100006, output_theta ,-0.048525
enc_dist ,55.31233, enc_theta ,0.062021, imu_theta ,0, output_theta ,0.031011
enc_dist ,56.065647, enc_theta ,0.002955, imu_theta ,0, output_theta ,0.001477
enc_dist ,55.613657, enc_theta ,-0.00886, imu_theta ,0, output_theta ,-0.00443
enc_dist ,55.105168, enc_theta ,-0.035441, imu_theta ,0, output_theta ,-0.01772
enc_dist ,56.159812, enc_theta ,-0.053161, imu_theta ,0, output_theta ,-0.026581
enc_dist ,55.801986, enc_theta ,-0.020674, imu_theta ,0, output_theta ,-0.010337
enc_dist ,55.783153, enc_theta ,0.023627, imu_theta ,-0.100006, output_theta ,-0.038189
enc_dist ,56.197478, enc_theta ,0, imu_theta ,0.100006, output_theta ,0.050003
enc_dist ,55.519492, enc_theta ,-0.01772, imu_theta ,0, output_theta ,-0.00886
